fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2023-02-02,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"6,4",,"-0,6",07:30,"13,3",12:50,26,"0,6","6,9",19:50,,"892,1",Varias,"889,5",04
2023-02-03,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"8,6",,"2,5",05:40,"14,8",Varias,20,"0,8","5,3",16:00,,"893,6",11,"890,8",03
2023-02-04,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"11,2",,"5,0",Varias,"17,4",13:40,23,"2,8","12,8",14:50,,"892,5",00,"889,7",14
2023-02-05,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"10,9",,"4,6",03:00,"17,2",14:00,25,"2,2","15,8",23:40,,"893,6",08,"887,7",24
2023-02-06,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"4,2",,"-1,4",23:59,"9,8",00:20,28,"0,8","15,6",00:20,,"887,7",00,"884,8",04
2023-02-07,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"-0,6",,"-2,8",02:00,"1,5",15:40,08,"0,3","2,5",00:20,,"886,9",24,"882,8",06
2023-02-08,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"2,2",,"-3,3",07:50,"7,8",12:10,19,"0,3","4,4",15:40,,"888,4",24,"886,3",Varias
2023-02-09,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"1,6",,"-2,9",08:00,"6,2",14:30,24,"0,8","6,1",12:10,,"894,1",24,"888,2",02
2023-02-10,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"1,4",,"-5,2",06:00,"7,9",15:50,18,"0,6","3,1",12:40,,"895,8",11,"893,7",03
2023-02-11,9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",HUESCA,1206,"3,6",,"-3,4",05:40,"10,5",15:20,22,"0,3","4,2",14:20,,"894,9",00,"891,7",15
